match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,0.1,Scotland,Hong Kong,HG Munsey,KJ Coetzer,Haseeb Amjad,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,0.2,Scotland,Hong Kong,HG Munsey,KJ Coetzer,Haseeb Amjad,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,0.3,Scotland,Hong Kong,HG Munsey,KJ Coetzer,Haseeb Amjad,0,0,,,,,,lbw,HG Munsey,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,0.4,Scotland,Hong Kong,MH Cross,KJ Coetzer,Haseeb Amjad,0,1,1,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,0.5,Scotland,Hong Kong,MH Cross,KJ Coetzer,Haseeb Amjad,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,0.6,Scotland,Hong Kong,MH Cross,KJ Coetzer,Haseeb Amjad,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,0.7,Scotland,Hong Kong,MH Cross,KJ Coetzer,Haseeb Amjad,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,1.1,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,1.2,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,1.3,Scotland,Hong Kong,MH Cross,KJ Coetzer,Tanwir Afzal,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,1.4,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,1.5,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,1.6,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,4,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,2.1,Scotland,Hong Kong,MH Cross,KJ Coetzer,Haseeb Amjad,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,2.2,Scotland,Hong Kong,KJ Coetzer,MH Cross,Haseeb Amjad,4,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,2.3,Scotland,Hong Kong,KJ Coetzer,MH Cross,Haseeb Amjad,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,2.4,Scotland,Hong Kong,MH Cross,KJ Coetzer,Haseeb Amjad,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,2.5,Scotland,Hong Kong,MH Cross,KJ Coetzer,Haseeb Amjad,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,2.6,Scotland,Hong Kong,KJ Coetzer,MH Cross,Haseeb Amjad,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,3.1,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,3.2,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,4,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,3.3,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,6,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,3.4,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,3.5,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,0,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,3.6,Scotland,Hong Kong,KJ Coetzer,MH Cross,Tanwir Afzal,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,4.1,Scotland,Hong Kong,KJ Coetzer,MH Cross,Aizaz Khan,6,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,4.2,Scotland,Hong Kong,KJ Coetzer,MH Cross,Aizaz Khan,1,0,,,,,,,,,
953105,2015/16,2016-01-31,"Mission Road Ground, Mong Kok",1,4.3,Scotland,Hong Kong,MH Cross,KJ Coetzer,Aizaz Khan,0,0,,,,,,,,,
